image,st,bunya,question,ans,imans1,imans2,imans3,effect,power
card_2.png,1,一次不等式,5x + 5 \leq 0,x \leq -5/5,2,10,10,heal,3
card_1.png,1,一次不等式,4x + 8 \leq 0,x \leq -8/4,8,16,28,heal,9
card_2.png,1,一次不等式,9x + 9 \leq 0,x \leq -9/9,29,5,25,attack,7
card_2.png,1,一次不等式,5x + 6 \leq 0,x \leq -6/5,30,21,12,heal,8
card_2.png,1,一次不等式,6x + 5 \leq 0,x \leq -5/6,9,10,12,heal,8
card_3.png,2,一次不等式,6x + 17 \leq 0,x \leq -17/6,18,18,14,defense,7
card_2.png,2,一次不等式,19x + 5 \leq 0,x \leq -5/19,13,25,18,defense,5
card_1.png,2,一次不等式,18x + 1 \leq 0,x \leq -1/18,13,7,19,defense,6
card_4.png,2,一次不等式,20x + 12 \leq 0,x \leq -12/20,12,30,18,heal,3
card_2.png,2,一次不等式,4x + 10 \leq 0,x \leq -10/4,20,26,1,heal,9
card_4.png,3,一次不等式,19x + 12 \leq 0,x \leq -12/19,10,15,19,heal,8
card_2.png,3,一次不等式,9x + 30 \leq 0,x \leq -30/9,22,10,15,attack,7
card_2.png,3,一次不等式,4x + 4 \leq 0,x \leq -4/4,20,21,9,attack,10
card_3.png,3,一次不等式,21x + 28 \leq 0,x \leq -28/21,10,10,8,attack,10
card_2.png,3,一次不等式,12x + 16 \leq 0,x \leq -16/12,27,10,20,defense,9
card_2.png,4,一次不等式,29x + 16 \leq 0,x \leq -16/29,7,25,15,attack,4
card_1.png,4,一次不等式,21x + 17 \leq 0,x \leq -17/21,23,29,24,attack,7
card_3.png,4,一次不等式,39x + 26 \leq 0,x \leq -26/39,4,24,12,attack,4
card_4.png,4,一次不等式,17x + 6 \leq 0,x \leq -6/17,28,4,12,defense,5
card_1.png,4,一次不等式,34x + 32 \leq 0,x \leq -32/34,29,13,12,attack,3
card_2.png,5,一次不等式,24x + 12 \leq 0,x \leq -12/24,30,3,30,attack,4
card_2.png,5,一次不等式,36x + 36 \leq 0,x \leq -36/36,11,13,30,attack,6
