image,st,bunya,ans,imans1,imans2,imans3,effect_type,power,question
card_248.png,1,足し算,16,12,35,84,defence,7,\( 9 + 7 = \ ? \)
card_249.png,1,足し算,9,40,57,40,defence,9,\( 4 + 5 = \ ? \)
card_250.png,1,足し算,9,73,33,75,defence,8,\( 6 + 3 = \ ? \)
card_251.png,1,足し算,10,12,32,20,defence,8,\( 7 + 3 = \ ? \)
card_252.png,1,足し算,9,68,51,79,attack,4,\( 8 + 1 = \ ? \)
card_253.png,2,足し算,31,78,95,17,attack,1,\( 17 + 14 = \ ? \)
card_254.png,2,足し算,48,42,98,1,heal,5,\( 30 + 18 = \ ? \)
card_255.png,2,足し算,38,80,48,14,heal,3,\( 27 + 11 = \ ? \)
card_256.png,2,足し算,31,22,8,67,heal,2,\( 11 + 20 = \ ? \)
card_257.png,2,足し算,49,44,51,91,attack,1,\( 19 + 30 = \ ? \)
card_258.png,3,足し算,83,56,50,48,attack,8,\( 39 + 44 = \ ? \)
card_259.png,3,足し算,94,19,89,26,heal,6,\( 45 + 49 = \ ? \)
card_260.png,3,足し算,84,87,20,18,attack,3,\( 35 + 49 = \ ? \)
card_261.png,3,足し算,75,43,98,53,attack,9,\( 37 + 38 = \ ? \)
card_262.png,3,足し算,67,88,41,4,heal,4,\( 33 + 34 = \ ? \)
card_263.png,4,足し算,121,52,78,27,heal,6,\( 52 + 69 = \ ? \)
card_264.png,4,足し算,132,27,87,41,defence,4,\( 67 + 65 = \ ? \)
card_265.png,4,足し算,114,83,55,21,defence,6,\( 60 + 54 = \ ? \)
card_266.png,4,足し算,112,22,36,95,attack,2,\( 59 + 53 = \ ? \)
card_267.png,4,足し算,112,89,96,33,heal,6,\( 60 + 52 = \ ? \)
card_268.png,5,足し算,197,90,45,38,heal,6,\( 98 + 99 = \ ? \)
card_269.png,5,足し算,153,28,30,67,attack,2,\( 82 + 71 = \ ? \)
card_270.png,5,足し算,140,73,9,85,defence,8,\( 70 + 70 = \ ? \)
card_271.png,5,足し算,190,51,37,81,defence,2,\( 92 + 98 = \ ? \)
card_272.png,5,足し算,178,15,15,44,heal,9,\( 80 + 98 = \ ? \)
card_273.png,1,引き算,1,60,94,58,attack,7,\( 5 - 4 = \ ? \)
card_274.png,1,引き算,4,52,65,69,attack,6,\( 9 - 5 = \ ? \)
card_275.png,1,引き算,7,96,74,6,attack,9,\( 8 - 1 = \ ? \)
card_276.png,1,引き算,0,91,76,55,defence,6,\( 5 - 5 = \ ? \)
card_277.png,1,引き算,4,90,6,67,defence,2,\( 8 - 4 = \ ? \)
card_278.png,2,引き算,39,39,24,30,attack,7,\( 25 - 14 = \ ? \)
card_279.png,2,引き算,37,91,81,97,defence,1,\( 26 - 11 = \ ? \)
