image,st,bunya,question,ans,imans1,imans2,imans3,effect_type,power
足し算.png,1,足し算,\( 9 + 7 = \ ? \),16,12,35,84,defence,7
足し算.png,1,足し算,\( 4 + 5 = \ ? \),9,40,57,40,defence,9
足し算.png,1,足し算,\( 6 + 3 = \ ? \),9,73,33,75,defence,8
足し算.png,1,足し算,\( 7 + 3 = \ ? \),10,12,32,20,defence,8
足し算.png,1,足し算,\( 8 + 1 = \ ? \),9,68,51,79,attack,4
足し算.png,2,足し算,\( 17 + 14 = \ ? \),31,78,95,17,attack,1
足し算.png,2,足し算,\( 30 + 18 = \ ? \),48,42,98,1,heal,5
足し算.png,2,足し算,\( 27 + 11 = \ ? \),38,80,48,14,heal,3
足し算.png,2,足し算,\( 11 + 20 = \ ? \),31,22,8,67,heal,2
足し算.png,2,足し算,\( 19 + 30 = \ ? \),49,44,51,91,attack,1
足し算.png,3,足し算,\( 39 + 44 = \ ? \),83,56,50,48,attack,8
足し算.png,3,足し算,\( 45 + 49 = \ ? \),94,19,89,26,heal,6
足し算.png,3,足し算,\( 35 + 49 = \ ? \),84,87,20,18,attack,3
足し算.png,3,足し算,\( 37 + 38 = \ ? \),75,43,98,53,attack,9
足し算.png,3,足し算,\( 33 + 34 = \ ? \),67,88,41,4,heal,4
足し算.png,4,足し算,\( 52 + 69 = \ ? \),121,52,78,27,heal,6
足し算.png,4,足し算,\( 67 + 65 = \ ? \),132,27,87,41,defence,4
足し算.png,4,足し算,\( 60 + 54 = \ ? \),114,83,55,21,defence,6
足し算.png,4,足し算,\( 59 + 53 = \ ? \),112,22,36,95,attack,2
足し算.png,4,足し算,\( 60 + 52 = \ ? \),112,89,96,33,heal,6
足し算.png,5,足し算,\( 98 + 99 = \ ? \),197,90,45,38,heal,6
足し算.png,5,足し算,\( 82 + 71 = \ ? \),153,28,30,67,attack,2
足し算.png,5,足し算,\( 70 + 70 = \ ? \),140,73,9,85,defence,8
足し算.png,5,足し算,\( 92 + 98 = \ ? \),190,51,37,81,defence,2
足し算.png,5,足し算,\( 80 + 98 = \ ? \),178,15,15,44,heal,9
引き算.png,1,引き算,\( 5 - 4 = \ ? \),1,60,94,58,attack,7
引き算.png,1,引き算,\( 9 - 5 = \ ? \),4,52,65,69,attack,6
引き算.png,1,引き算,\( 8 - 1 = \ ? \),7,96,74,6,attack,9
引き算.png,1,引き算,\( 5 - 5 = \ ? \),0,91,76,55,defence,6
引き算.png,1,引き算,\( 8 - 4 = \ ? \),4,90,6,67,defence,2
引き算.png,2,引き算,\( 25 - 14 = \ ? \),39,39,24,30,attack,7
引き算.png,2,引き算,\( 26 - 11 = \ ? \),37,91,81,97,defence,1
引き算.png,2,引き算,\( 28 - 18 = \ ? \),46,97,60,68,attack,1
引き算.png,2,引き算,\( 21 - 10 = \ ? \),31,91,83,54,attack,5
引き算.png,2,引き算,\( 30 - 18 = \ ? \),48,34,86,9,heal,8
引き算.png,3,引き算,\( 40 - 38 = \ ? \),78,46,69,82,defence,5
引き算.png,3,引き算,\( 44 - 34 = \ ? \),78,53,46,88,attack,4
引き算.png,3,引き算,\( 45 - 36 = \ ? \),81,54,16,27,defence,9
引き算.png,3,引き算,\( 46 - 30 = \ ? \),76,27,81,58,heal,3
引き算.png,3,引き算,\( 42 - 34 = \ ? \),76,32,30,87,defence,8
引き算.png,4,引き算,\( 68 - 54 = \ ? \),122,99,34,2,defence,7
引き算.png,4,引き算,\( 64 - 51 = \ ? \),115,38,98,10,attack,3
引き算.png,4,引き算,\( 61 - 56 = \ ? \),117,79,40,80,defence,1
引き算.png,4,引き算,\( 63 - 58 = \ ? \),121,79,9,99,defence,9
引き算.png,4,引き算,\( 70 - 50 = \ ? \),120,41,40,86,heal,1
引き算.png,5,引き算,\( 98 - 79 = \ ? \),177,59,81,96,heal,7
引き算.png,5,引き算,\( 88 - 85 = \ ? \),173,43,61,96,defence,1
引き算.png,5,引き算,\( 100 - 78 = \ ? \),178,45,34,18,defence,1
引き算.png,5,引き算,\( 92 - 82 = \ ? \),174,29,80,87,attack,6
引き算.png,5,引き算,\( 90 - 77 = \ ? \),167,98,3,43,heal,5
掛け算.png,1,掛け算,\( 1 \times 1 = \ ? \),1,36,5,92,attack,7
掛け算.png,1,掛け算,\( 2 \times 2 = \ ? \),4,48,13,64,attack,8
掛け算.png,1,掛け算,\( 2 \times 1 = \ ? \),2,95,8,91,attack,6
掛け算.png,1,掛け算,\( 3 \times 4 = \ ? \),12,50,91,19,defence,3
掛け算.png,1,掛け算,\( 2 \times 1 = \ ? \),2,93,49,69,attack,8
掛け算.png,2,掛け算,\( 7 \times 10 = \ ? \),70,28,64,54,attack,10
掛け算.png,2,掛け算,\( 6 \times 8 = \ ? \),48,53,30,29,attack,2
掛け算.png,2,掛け算,\( 8 \times 9 = \ ? \),72,83,12,50,defence,9
掛け算.png,2,掛け算,\( 10 \times 10 = \ ? \),100,10,71,71,attack,3
掛け算.png,2,掛け算,\( 6 \times 7 = \ ? \),42,71,64,54,attack,8
掛け算.png,3,掛け算,\( 14 \times 11 = \ ? \),154,81,8,12,attack,10
掛け算.png,3,掛け算,\( 12 \times 10 = \ ? \),120,11,42,28,heal,7
掛け算.png,3,掛け算,\( 15 \times 10 = \ ? \),150,47,80,96,defence,8
掛け算.png,3,掛け算,\( 11 \times 11 = \ ? \),121,62,43,9,defence,9
掛け算.png,3,掛け算,\( 13 \times 14 = \ ? \),182,31,97,51,attack,3
掛け算.png,4,掛け算,\( 15 \times 16 = \ ? \),240,53,95,33,heal,9
掛け算.png,4,掛け算,\( 15 \times 16 = \ ? \),240,19,79,83,defence,9
掛け算.png,4,掛け算,\( 16 \times 15 = \ ? \),240,15,71,59,defence,5
掛け算.png,4,掛け算,\( 16 \times 15 = \ ? \),240,70,73,42,heal,3
掛け算.png,4,掛け算,\( 17 \times 17 = \ ? \),289,84,69,16,attack,7
掛け算.png,5,掛け算,\( 18 \times 19 = \ ? \),342,55,53,89,attack,4
掛け算.png,5,掛け算,\( 18 \times 18 = \ ? \),324,26,74,86,defence,2
掛け算.png,5,掛け算,\( 19 \times 18 = \ ? \),342,9,50,69,attack,8
掛け算.png,5,掛け算,\( 19 \times 19 = \ ? \),361,41,82,47,heal,3
掛け算.png,5,掛け算,\( 17 \times 20 = \ ? \),340,18,1,61,attack,1
割り算.png,1,割り算,\( 3 \div 1 = \ ? \),3,47,6,80,defence,9
割り算.png,1,割り算,\( 15 \div 3 = \ ? \),5,48,32,38,heal,3
割り算.png,1,割り算,\( 1 \div 1 = \ ? \),1,18,93,83,heal,6
割り算.png,1,割り算,\( 2 \div 2 = \ ? \),1,58,74,77,attack,1
割り算.png,1,割り算,\( 20 \div 5 = \ ? \),4,34,4,27,attack,6
割り算.png,2,割り算,\( 72 \div 9 = \ ? \),8,27,86,13,attack,9
割り算.png,2,割り算,\( 24 \div 6 = \ ? \),4,28,42,90,heal,4
割り算.png,2,割り算,\( 49 \div 7 = \ ? \),7,34,36,70,heal,4
割り算.png,2,割り算,\( 24 \div 6 = \ ? \),4,82,39,74,heal,2
割り算.png,2,割り算,\( 14 \div 7 = \ ? \),2,85,81,49,attack,3
割り算.png,3,割り算,\( 99 \div 6 = \ ? \)（小数第2位まで）,16.5,26,24,95,heal,2
割り算.png,3,割り算,\( 55 \div 2 = \ ? \)（小数第2位まで）,27.5,5,95,69,attack,1
割り算.png,3,割り算,\( 32 \div 2 = \ ? \)（小数第2位まで）,16.0,12,50,60,defence,2
割り算.png,3,割り算,\( 31 \div 7 = \ ? \)（小数第2位まで）,4.43,7,84,39,defence,1
割り算.png,3,割り算,\( 25 \div 5 = \ ? \)（小数第2位まで）,5.0,51,31,91,attack,10
割り算.png,4,割り算,\( \frac{68}{9} \) を帯分数にせよ。,7 \( \frac{5}{9} \),39,31,26,defence,4
割り算.png,4,割り算,\( \frac{49}{5} \) を帯分数にせよ。,9 \( \frac{4}{5} \),52,53,88,attack,10
割り算.png,4,割り算,\( \frac{67}{7} \) を帯分数にせよ。,9 \( \frac{4}{7} \),96,21,66,defence,2
割り算.png,4,割り算,\( \frac{35}{8} \) を帯分数にせよ。,4 \( \frac{3}{8} \),99,91,20,defence,10
割り算.png,4,割り算,\( \frac{23}{9} \) を帯分数にせよ。,2 \( \frac{5}{9} \),67,44,36,defence,7
割り算.png,5,割り算,\( \frac{4x}{1} \) を簡単にせよ。,\( \frac{4}{1}x \),80,60,69,heal,6
割り算.png,5,割り算,\( \frac{4x}{1} \) を簡単にせよ。,\( \frac{4}{1}x \),17,41,13,attack,7
割り算.png,5,割り算,\( \frac{2x}{5} \) を簡単にせよ。,\( \frac{2}{5}x \),25,71,54,attack,6
割り算.png,5,割り算,\( \frac{3x}{4} \) を簡単にせよ。,\( \frac{3}{4}x \),30,11,40,attack,7
割り算.png,5,割り算,\( \frac{5x}{4} \) を簡単にせよ。,\( \frac{5}{4}x \),38,37,48,defence,6
小数(小学校).png,1,小数(小学校),\( 3.8 + 3.5 = \ ? \),7.3,95,95,43,attack,3
小数(小学校).png,1,小数(小学校),\( 4.6 - 4.5 = \ ? \),0.1,94,88,6,defence,7
小数(小学校).png,1,小数(小学校),\( 3.3 + 2.5 = \ ? \),5.8,98,34,13,defence,3
小数(小学校).png,1,小数(小学校),\( 5.0 - 4.0 = \ ? \),1.0,27,10,78,attack,5
小数(小学校).png,1,小数(小学校),\( 3.3 + 4.0 = \ ? \),7.3,57,94,34,defence,7
小数(小学校).png,2,小数(小学校),\( 6.37 - 9.5 = \ ? \),-3.13,99,49,92,heal,5
小数(小学校).png,2,小数(小学校),\( 1.31 - 5.23 = \ ? \),-3.92,38,11,58,attack,2
小数(小学校).png,2,小数(小学校),\( 1.92 + 4.1 = \ ? \),6.02,68,1,99,attack,3
小数(小学校).png,2,小数(小学校),\( 5.17 + 1.99 = \ ? \),7.16,60,3,20,heal,5
小数(小学校).png,2,小数(小学校),\( 8.68 - 8.16 = \ ? \),0.52,31,39,67,attack,9
小数(小学校).png,3,小数(小学校),\( 0.1 - 5 = \ ? \),-4.9,57,70,18,attack,7
小数(小学校).png,3,小数(小学校),\( 8 - 3.0 = \ ? \),5.0,1,86,48,defence,3
小数(小学校).png,3,小数(小学校),\( 2.1 - 8 = \ ? \),-5.9,10,38,4,defence,6
小数(小学校).png,3,小数(小学校),\( 11 - 4.8 = \ ? \),6.2,73,62,69,attack,4
小数(小学校).png,3,小数(小学校),\( 2 - 1.3 = \ ? \),0.7,40,94,73,heal,6
小数(小学校).png,4,小数(小学校),\( 13.49 - 32.11 = \ ? \),-18.62,26,66,77,heal,8
小数(小学校).png,4,小数(小学校),\( 40.22 + 17.22 = \ ? \),57.44,95,82,72,attack,7
小数(小学校).png,4,小数(小学校),\( 12.96 + 33.42 = \ ? \),46.38,31,1,96,attack,2
小数(小学校).png,4,小数(小学校),\( 11.81 - 24.93 = \ ? \),-13.12,94,89,93,heal,3
小数(小学校).png,4,小数(小学校),\( 47.9 + 29.64 = \ ? \),77.54,94,30,4,defence,5
小数(小学校).png,5,小数(小学校),\( 91.81 + 36.87 = \ ? \),128.68,69,33,98,heal,9
小数(小学校).png,5,小数(小学校),\( 84.98 + 69.69 = \ ? \),154.67,71,19,1,defence,6
小数(小学校).png,5,小数(小学校),\( 96.55 + 22.16 = \ ? \),118.71,68,7,92,defence,7
小数(小学校).png,5,小数(小学校),\( 56.98 - 75.94 = \ ? \),-18.96,41,14,2,heal,5
小数(小学校).png,5,小数(小学校),\( 90.75 - 32.68 = \ ? \),58.07,94,28,48,attack,10
分数(小学校).png,1,分数(小学校),\( \frac{1}{2} - \frac{1}{2} = \ ? \),\( \frac{0}{1} \),87,99,61,heal,8
