image,st,bunya,question,ans,imans1,imans2,imans3,effect_type,power
足し算.png,1,足し算,\( 6 + 4 = \ ? \),10,38,15,25,attack,6
足し算.png,1,足し算,\( 7 + 6 = \ ? \),13,66,1,69,defence,10
足し算.png,1,足し算,\( 9 + 2 = \ ? \),11,77,4,10,attack,6
足し算.png,1,足し算,\( 4 + 8 = \ ? \),12,12,1,23,heal,5
足し算.png,1,足し算,\( 4 + 9 = \ ? \),13,10,75,27,attack,8
足し算.png,2,足し算,\( 26 + 28 = \ ? \),54,78,36,47,defence,9
足し算.png,2,足し算,\( 23 + 15 = \ ? \),38,81,40,32,attack,4
足し算.png,2,足し算,\( 22 + 21 = \ ? \),43,92,76,74,attack,2
足し算.png,2,足し算,\( 10 + 20 = \ ? \),30,25,90,60,heal,5
足し算.png,2,足し算,\( 12 + 21 = \ ? \),33,6,33,79,attack,7
足し算.png,3,足し算,\( 33 + 34 = \ ? \),67,53,91,74,heal,2
足し算.png,3,足し算,\( 45 + 32 = \ ? \),77,3,42,25,defence,1
足し算.png,3,足し算,\( 45 + 48 = \ ? \),93,22,64,83,attack,4
足し算.png,3,足し算,\( 35 + 38 = \ ? \),73,5,16,76,attack,7
足し算.png,3,足し算,\( 47 + 38 = \ ? \),85,87,96,10,defence,7
足し算.png,4,足し算,\( 64 + 51 = \ ? \),115,71,24,54,defence,4
足し算.png,4,足し算,\( 51 + 56 = \ ? \),107,27,23,31,defence,8
足し算.png,4,足し算,\( 62 + 55 = \ ? \),117,60,50,15,heal,7
足し算.png,4,足し算,\( 63 + 50 = \ ? \),113,21,23,79,attack,2
足し算.png,4,足し算,\( 67 + 66 = \ ? \),133,86,52,74,attack,4
足し算.png,5,足し算,\( 88 + 73 = \ ? \),161,53,77,14,defence,1
足し算.png,5,足し算,\( 89 + 93 = \ ? \),182,33,37,31,defence,6
足し算.png,5,足し算,\( 86 + 70 = \ ? \),156,35,91,3,attack,2
足し算.png,5,足し算,\( 70 + 72 = \ ? \),142,90,19,90,attack,10
足し算.png,5,足し算,\( 89 + 78 = \ ? \),167,22,52,41,heal,10
引き算.png,1,引き算,\( 10 - 2 = \ ? \),8,3,42,28,defence,6
引き算.png,1,引き算,\( 5 - 5 = \ ? \),0,49,7,15,heal,6
引き算.png,1,引き算,\( 8 - 3 = \ ? \),5,6,89,45,heal,9
引き算.png,1,引き算,\( 8 - 1 = \ ? \),7,66,70,93,heal,7
引き算.png,1,引き算,\( 6 - 2 = \ ? \),4,74,90,49,defence,7
引き算.png,2,引き算,\( 22 + 18 = \ ? \),40,89,54,87,heal,9
引き算.png,2,引き算,\( 20 + 20 = \ ? \),40,12,6,52,heal,10
引き算.png,2,引き算,\( 21 + 20 = \ ? \),41,45,63,24,attack,8
引き算.png,2,引き算,\( 30 + 14 = \ ? \),44,35,91,7,heal,3
引き算.png,2,引き算,\( 30 + 13 = \ ? \),43,38,1,62,heal,4
引き算.png,3,引き算,\( 46 + 34 = \ ? \),80,62,33,61,defence,4
引き算.png,3,引き算,\( 46 + 38 = \ ? \),84,54,90,54,attack,10
引き算.png,3,引き算,\( 45 + 32 = \ ? \),77,76,42,7,attack,10
引き算.png,3,引き算,\( 45 + 37 = \ ? \),82,78,31,78,heal,10
引き算.png,3,引き算,\( 46 + 32 = \ ? \),78,54,39,12,heal,10
引き算.png,4,引き算,\( 61 + 54 = \ ? \),115,99,23,49,defence,6
引き算.png,4,引き算,\( 68 + 60 = \ ? \),128,25,81,39,defence,1
引き算.png,4,引き算,\( 68 + 59 = \ ? \),127,56,59,22,heal,8
引き算.png,4,引き算,\( 62 + 50 = \ ? \),112,28,45,8,attack,5
引き算.png,4,引き算,\( 69 + 57 = \ ? \),126,32,55,4,attack,1
引き算.png,5,引き算,\( 93 + 74 = \ ? \),167,13,64,70,heal,8
引き算.png,5,引き算,\( 89 + 72 = \ ? \),161,61,93,48,attack,5
引き算.png,5,引き算,\( 85 + 84 = \ ? \),169,64,18,37,defence,9
引き算.png,5,引き算,\( 87 + 76 = \ ? \),163,91,55,79,defence,10
引き算.png,5,引き算,\( 86 + 85 = \ ? \),171,6,39,59,attack,7
掛け算.png,1,掛け算,\( 3 \times 5 = \ ? \),15,90,56,87,defence,6
掛け算.png,1,掛け算,\( 1 \times 1 = \ ? \),1,40,74,98,defence,9
掛け算.png,1,掛け算,\( 2 \times 3 = \ ? \),6,18,5,67,attack,4
掛け算.png,1,掛け算,\( 5 \times 1 = \ ? \),5,60,12,8,defence,2
掛け算.png,1,掛け算,\( 2 \times 3 = \ ? \),6,12,82,44,heal,4
掛け算.png,2,掛け算,\( 7 \times 8 = \ ? \),56,39,36,34,attack,9
掛け算.png,2,掛け算,\( 7 \times 10 = \ ? \),70,26,91,92,heal,4
掛け算.png,2,掛け算,\( 8 \times 10 = \ ? \),80,70,64,64,defence,3
掛け算.png,2,掛け算,\( 9 \times 7 = \ ? \),63,17,31,37,defence,2
掛け算.png,2,掛け算,\( 8 \times 6 = \ ? \),48,94,90,90,attack,4
掛け算.png,3,掛け算,\( 13 \times 10 = \ ? \),130,30,40,10,attack,5
掛け算.png,3,掛け算,\( 12 \times 13 = \ ? \),156,30,48,81,heal,5
掛け算.png,3,掛け算,\( 10 \times 12 = \ ? \),120,74,21,99,defence,5
掛け算.png,3,掛け算,\( 12 \times 12 = \ ? \),144,61,91,35,attack,2
掛け算.png,3,掛け算,\( 10 \times 11 = \ ? \),110,68,60,57,heal,7
掛け算.png,4,掛け算,\( 15 \times 15 = \ ? \),225,33,4,26,heal,10
掛け算.png,4,掛け算,\( 17 \times 15 = \ ? \),255,86,80,37,heal,2
掛け算.png,4,掛け算,\( 15 \times 15 = \ ? \),225,76,99,50,heal,4
掛け算.png,4,掛け算,\( 17 \times 17 = \ ? \),289,58,73,71,attack,5
掛け算.png,4,掛け算,\( 15 \times 17 = \ ? \),255,66,75,84,heal,8
掛け算.png,5,掛け算,\( 17 \times 17 = \ ? \),289,81,56,80,attack,6
掛け算.png,5,掛け算,\( 17 \times 18 = \ ? \),306,40,31,62,defence,5
掛け算.png,5,掛け算,\( 19 \times 18 = \ ? \),342,56,14,23,defence,1
掛け算.png,5,掛け算,\( 18 \times 17 = \ ? \),306,68,64,60,defence,3
掛け算.png,5,掛け算,\( 18 \times 20 = \ ? \),360,7,21,1,attack,5
割り算.png,1,割り算,\( 6 \div 3 = \ ? \),2,81,17,48,defence,6
割り算.png,1,割り算,\( 8 \div 4 = \ ? \),2,63,37,44,defence,10
割り算.png,1,割り算,\( 8 \div 4 = \ ? \),2,32,71,52,attack,2
割り算.png,1,割り算,\( 15 \div 3 = \ ? \),5,98,12,90,defence,8
割り算.png,1,割り算,\( 15 \div 3 = \ ? \),5,64,13,80,defence,7
割り算.png,2,割り算,\( 80 \div 10 = \ ? \),8,68,56,99,defence,1
割り算.png,2,割り算,\( 21 \div 7 = \ ? \),3,18,25,38,heal,5
